Time,Humidity,Temperature
66861,56.0,16.9
67861,56.0,16.9
68886,56.0,16.9
69886,56.0,16.9
70911,56.0,16.9
71911,56.0,16.9
72936,56.0,16.9
73936,56.0,16.9
74961,56.0,16.9
75961,56.0,16.9
76986,56.0,16.9
77986,56.0,16.9
79011,56.0,16.9
80011,56.0,16.9
81036,56.0,16.9
82036,56.0,16.9
83061,56.0,16.9
84061,56.0,16.9
85086,56.0,16.9
86086,56.0,16.9
87111,56.0,16.9
88111,56.0,16.9
89136,56.0,16.9
90136,56.0,16.9
91161,56.0,16.9
92161,56.0,16.9
93186,56.0,16.9
94186,56.0,16.9
95211,56.0,16.9
96211,56.0,16.9
97236,56.0,16.9
98236,56.0,16.9
99261,56.0,16.9
100261,56.0,16.9
101286,56.0,16.9
102286,56.0,16.9
103311,56.0,16.9
104311,56.0,16.9
105336,56.0,16.9
106336,56.0,16.9
107361,56.0,16.9
108361,56.0,16.9
109386,56.0,16.9
110386,56.0,16.9
111411,56.0,16.9
112411,56.0,16.9
113436,56.0,16.9
114436,56.0,16.9
115461,56.0,16.9
116461,56.0,16.9
117486,56.0,16.9
118486,63.0,17.0
119511,63.0,17.0
120511,65.0,17.2
121536,65.0,17.2
122536,66.0,17.3
123561,66.0,17.3
124561,68.0,17.4
125586,68.0,17.4
126586,68.0,17.5
127611,68.0,17.5
128611,69.0,17.6
129636,69.0,17.6
130636,70.0,17.6
131661,70.0,17.6
132661,71.0,17.7
133686,71.0,17.7
134686,71.0,17.7
135711,71.0,17.7
136711,72.0,17.7
137736,72.0,17.7
138736,72.0,17.8
139761,72.0,17.8
140761,73.0,17.8
141786,73.0,17.8
142786,73.0,17.8
143811,73.0,17.8
144811,73.0,17.8
145836,73.0,17.8
146836,74.0,17.8
147861,74.0,17.8
148861,74.0,17.8
149886,74.0,17.8
150886,74.0,17.8
151911,74.0,17.8
152911,74.0,17.8
153936,74.0,17.8
154936,74.0,17.8
155961,74.0,17.8
156961,74.0,17.8
157986,74.0,17.8
158986,74.0,17.8
160011,74.0,17.8
161011,74.0,17.7
162036,74.0,17.7
163036,74.0,17.7
164061,74.0,17.7
165061,74.0,17.7
166086,74.0,17.7
167086,74.0,17.7
168111,74.0,17.7
169111,74.0,17.7
170136,74.0,17.7
171136,74.0,17.7
172161,74.0,17.7
173161,74.0,17.7
174186,74.0,17.7
175186,74.0,17.6
176211,74.0,17.6
177211,74.0,17.6
178236,74.0,17.6
179236,74.0,17.6
180261,74.0,17.6
181261,74.0,17.6
182286,74.0,17.6
183286,73.0,17.6
184311,73.0,17.6
185311,73.0,17.6
186336,73.0,17.6
187336,73.0,17.6
188361,73.0,17.6
189361,73.0,17.6
190386,73.0,17.6
191386,73.0,17.6
192411,73.0,17.6
193411,72.0,17.6
194436,72.0,17.6
195436,72.0,17.5
196461,72.0,17.5
197461,72.0,17.5
198486,72.0,17.5
199486,72.0,17.5
200511,72.0,17.5
201511,71.0,17.5
202536,71.0,17.5
203536,71.0,17.5
204561,71.0,17.5
205561,71.0,17.5
206586,71.0,17.5
207586,71.0,17.5
208611,71.0,17.5
209611,71.0,17.5
210636,71.0,17.5
211636,71.0,17.4
212661,71.0,17.4
213661,70.0,17.4
214686,70.0,17.4
215686,70.0,17.4
216711,70.0,17.4
217711,70.0,17.4
218736,70.0,17.4
219736,70.0,17.4
220761,70.0,17.4
221761,70.0,17.4
222786,70.0,17.4
223786,69.0,17.4
224811,69.0,17.4
225811,69.0,17.4
226836,69.0,17.4
227836,69.0,17.4
228861,69.0,17.4
229861,69.0,17.4
230886,69.0,17.4
231886,69.0,17.4
232911,69.0,17.4
233911,68.0,17.4
234936,68.0,17.4
235936,68.0,17.4
236961,68.0,17.4
237961,68.0,17.4
238986,68.0,17.4
239986,68.0,17.3
241011,68.0,17.3
242011,68.0,17.3
243036,68.0,17.3
244036,68.0,17.3
245061,68.0,17.3
246061,67.0,17.3
247086,67.0,17.3
248086,67.0,17.3
249111,67.0,17.3
250111,67.0,17.3
251136,67.0,17.3
252136,67.0,17.3
253161,67.0,17.3
254161,67.0,17.3
255186,67.0,17.3
256186,66.0,17.3
257211,66.0,17.3
258211,66.0,17.3
259236,66.0,17.3
260236,66.0,17.3
261261,66.0,17.3
262261,66.0,17.3
263286,66.0,17.3
264286,66.0,17.3
265311,66.0,17.3
266311,65.0,17.2
267336,65.0,17.2
268336,65.0,17.2
269361,65.0,17.2
