Time,Humidity,Temperature
5086.0,74.0,22.7
6111.0,74.0,22.7
7111.0,73.0,22.6
8136.0,73.0,22.6
9136.0,72.0,22.5
10161.0,72.0,22.5
11161.0,71.0,22.5
12186.0,71.0,22.5
13186.0,70.0,22.4
14211.0,70.0,22.4
15211.0,69.0,22.3
16236.0,69.0,22.3
17236.0,68.0,22.3
18261.0,68.0,22.3
19261.0,67.0,22.2
20286.0,67.0,22.2
21286.0,65.0,22.2
22311.0,65.0,22.2
23311.0,64.0,22.1
24336.0,64.0,22.1
25336.0,63.0,22.1
26361.0,63.0,22.1
27361.0,62.0,22.0
28386.0,62.0,22.0
29386.0,60.0,21.9
30411.0,60.0,21.9
31411.0,59.0,21.9
32436.0,59.0,21.9
33436.0,58.0,21.8
34461.0,58.0,21.8
35461.0,57.0,21.7
36486.0,57.0,21.7
37486.0,56.0,21.7
38511.0,56.0,21.7
39511.0,55.0,21.6
40536.0,55.0,21.6
41536.0,54.0,21.6
42561.0,54.0,21.6
43561.0,53.0,21.5
44586.0,53.0,21.5
45586.0,52.0,21.5
46611.0,52.0,21.5
47611.0,52.0,21.4
48636.0,52.0,21.4
49636.0,51.0,21.4
50661.0,51.0,21.4
51661.0,51.0,21.3
52686.0,51.0,21.3
53686.0,51.0,21.3
54711.0,51.0,21.3
55711.0,52.0,21.3
56736.0,52.0,21.3
57736.0,71.0,22.6
58761.0,71.0,22.6
59761.0,78.0,24.9
60786.0,78.0,24.9
61786.0,80.0,24.7
62811.0,80.0,24.7
63811.0,81.0,24.6
64836.0,81.0,24.6
65836.0,82.0,24.5
66861.0,82.0,24.5
67861.0,82.0,24.4
68886.0,82.0,24.4
69886.0,82.0,24.2
70911.0,82.0,24.2
71911.0,82.0,24.0
72936.0,82.0,24.0
73936.0,82.0,23.8
74961.0,82.0,23.8
75961.0,81.0,23.7
76986.0,81.0,23.7
77986.0,82.0,23.5
79011.0,82.0,23.5
80011.0,82.0,23.3
81036.0,82.0,23.3
82036.0,82.0,23.2
83061.0,82.0,23.2
84061.0,81.0,23.1
85086.0,81.0,23.1
86086.0,81.0,22.9
87111.0,81.0,22.9
88111.0,81.0,22.8
89136.0,81.0,22.8
90136.0,81.0,22.7
91161.0,81.0,22.7
92161.0,81.0,22.6
93186.0,81.0,22.6
94186.0,81.0,22.5
95211.0,81.0,22.5
96211.0,81.0,22.4
97236.0,81.0,22.4
98236.0,80.0,22.3
99261.0,80.0,22.3
100261.0,80.0,22.2
101286.0,80.0,22.2
102286.0,80.0,22.1
103311.0,80.0,22.1
104311.0,79.0,22.0
105336.0,79.0,22.0
